127.0.0.1 - - [04/Mar/2021:14:35:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Mar/2021:14:36:00 +0900] "GET /WYW/index.html HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [04/Mar/2021:14:36:15 +0900] "GET /WYW/mainPage.jsp HTTP/1.1" 200 2987
0:0:0:0:0:0:0:1 - - [04/Mar/2021:14:36:15 +0900] "GET /WYW/assets/css/main.css HTTP/1.1" 200 48036
0:0:0:0:0:0:0:1 - - [04/Mar/2021:14:36:15 +0900] "GET /WYW/assets/js/jquery.min.js HTTP/1.1" 200 85634
0:0:0:0:0:0:0:1 - - [04/Mar/2021:14:36:15 +0900] "GET /WYW/assets/js/main.js HTTP/1.1" 200 4424
0:0:0:0:0:0:0:1 - - [04/Mar/2021:14:36:15 +0900] "GET /WYW/assets/js/jquery.poptrox.min.js HTTP/1.1" 200 12087
0:0:0:0:0:0:0:1 - - [04/Mar/2021:14:36:15 +0900] "GET /WYW/assets/js/skel.min.js HTTP/1.1" 200 9092
0:0:0:0:0:0:0:1 - - [04/Mar/2021:14:36:15 +0900] "GET /WYW/images/logo/logo_wyw_yellowChange.png HTTP/1.1" 200 17465
0:0:0:0:0:0:0:1 - - [04/Mar/2021:14:36:15 +0900] "GET /WYW/images/thumbs/01.jpg HTTP/1.1" 200 35911
0:0:0:0:0:0:0:1 - - [04/Mar/2021:14:36:15 +0900] "GET /WYW/images/thumbs/02.jpg HTTP/1.1" 200 17326
0:0:0:0:0:0:0:1 - - [04/Mar/2021:14:36:15 +0900] "GET /WYW/images/thumbs/03.jpg HTTP/1.1" 200 28148
0:0:0:0:0:0:0:1 - - [04/Mar/2021:14:36:15 +0900] "GET /WYW/assets/css/font-awesome.min.css HTTP/1.1" 200 27470
0:0:0:0:0:0:0:1 - - [04/Mar/2021:14:36:16 +0900] "GET /WYW/images/bg.jpg HTTP/1.1" 200 73016
0:0:0:0:0:0:0:1 - - [04/Mar/2021:14:36:28 +0900] "GET /WYW/mainPage.jsp HTTP/1.1" 200 2987
0:0:0:0:0:0:0:1 - - [04/Mar/2021:14:36:28 +0900] "GET /WYW/assets/css/main.css HTTP/1.1" 200 48036
0:0:0:0:0:0:0:1 - - [04/Mar/2021:14:36:28 +0900] "GET /WYW/assets/js/main.js HTTP/1.1" 200 4424
0:0:0:0:0:0:0:1 - - [04/Mar/2021:14:36:30 +0900] "GET /WYW/images/clothing-icon/padded-jacket.png HTTP/1.1" 200 13887
0:0:0:0:0:0:0:1 - - [04/Mar/2021:14:36:30 +0900] "GET /WYW/images/clothing-icon/jeans.png HTTP/1.1" 200 5436
